title,release_id,master_id,link,media_condition,sleeve_condition,seller,seller_link,price,shipping
"Jay Z* & Kanye West - Watch The Throne (2xLP, Album, Pic)",3351778,361232,/sell/item/1856928124,Near Mint (NM or M-),Very Good Plus (VG+),Avalla,/seller/Avalla/profile,$300.00,€282.00
"Jay Z* & Kanye West - Watch The Throne (2xLP, Album, Pic)",3351778,361232,/sell/item/2284079515,Near Mint (NM or M-),Very Good Plus (VG+),BoilerRoomRecords,/seller/BoilerRoomRecords/profile,£260.00,+£34.00
"Jay Z* & Kanye West - Watch The Throne (2xLP, Album, Pic)",3351778,361232,/sell/item/2175503771,Mint (M),Near Mint (NM or M-),nep2une,/seller/nep2une/profile,$325.00,€305.50
"Jay Z* & Kanye West - Watch The Throne (2xLP, Album, Pic)",3351778,361232,/sell/item/2210480167,Near Mint (NM or M-),Very Good Plus (VG+),Modernsoundsvinylboi,/seller/Modernsoundsvinylboi/profile,$350.00,€329.00
"Jay Z* & Kanye West - Watch The Throne (2xLP, Album, Pic)",3351778,361232,/sell/item/2236185364,Near Mint (NM or M-),Near Mint (NM or M-),AElliott,/seller/AElliott/profile,£300.00,+£55.00
"Jay Z* & Kanye West - Watch The Throne (2xLP, Album, Pic)",3351778,361232,/sell/item/2227844695,Mint (M),Near Mint (NM or M-),trusnak,/seller/trusnak/profile,CA$495.00,+CA$30.00
"Jay Z* & Kanye West - Watch The Throne (2xLP, Album, Pic)",3351778,361232,/sell/item/2136865262,Near Mint (NM or M-),Very Good Plus (VG+),motorace79,/seller/motorace79/profile,A$575.00,€362.75
"Jay Z* & Kanye West - Watch The Throne (2xLP, Album, Pic)",3351778,361232,/sell/item/2117011442,Mint (M),Near Mint (NM or M-),CurtisaG,/seller/CurtisaG/profile,$390.00,€366.60
"Jay Z* & Kanye West - Watch The Throne (2xLP, Album, Pic)",3351778,361232,/sell/item/2241773902,Near Mint (NM or M-),Near Mint (NM or M-),zzjeff,/seller/zzjeff/profile,$400.00,+$10.00
"Jay Z* & Kanye West - Watch The Throne (2xLP, Album, Pic)",3351778,361232,/sell/item/2221609690,Mint (M),Near Mint (NM or M-),MeepsVinyl,/seller/MeepsVinyl/profile,CA$595.00,+CA$55.00
"Jay Z* & Kanye West - Watch The Throne (2xLP, Album, Pic)",3351778,361232,/sell/item/2241600199,Very Good Plus (VG+),Very Good Plus (VG+),Vinylmennesker,/seller/Vinylmennesker/profile,$449.95,€422.95
"Jay Z* & Kanye West - Watch The Throne (2xLP, Album, Pic)",3351778,361232,/sell/item/1517123023,Mint (M),Very Good Plus (VG+),MickLovin69,/seller/MickLovin69/profile,A$672.43,+A$49.80
"Jay Z* & Kanye West - Watch The Throne (2xLP, Album, Pic)",3351778,361232,/sell/item/1927372412,Near Mint (NM or M-),Mint (M),mbentleyra,/seller/mbentleyra/profile,$490.00,€460.60
"Jay Z* & Kanye West - Watch The Throne (2xLP, Album, Pic)",3351778,361232,/sell/item/2122607894,Mint (M),Near Mint (NM or M-),goldmine-records,/seller/goldmine-records/profile,A$775.00,+A$45.00
"Jay Z* & Kanye West - Watch The Throne (2xLP, Album, Pic)",3351778,361232,/sell/item/2258171497,Mint (M),Mint (M),Moonsrecords,/seller/Moonsrecords/profile,$525.00,+$25.00
"Jay Z* & Kanye West - Watch The Throne (2xLP, Album, Pic)",3351778,361232,/sell/item/2291753308,Near Mint (NM or M-),Very Good Plus (VG+),audiophileusa,/seller/audiophileusa/profile,$533.50,€501.49
"Jay Z* & Kanye West - Watch The Throne (2xLP, Album, Pic)",3351778,361232,/sell/item/2190787607,Mint (M),Near Mint (NM or M-),meh_,/seller/meh_/profile,A$800.00,€504.70
"Jay Z* & Kanye West - Watch The Throne (2xLP, Album, Pic)",3351778,361232,/sell/item/1690950568,Mint (M),Very Good Plus (VG+),scblu,/seller/scblu/profile,£450.00,€509.64
"Jay Z* & Kanye West - Watch The Throne (2xLP, Album, Pic)",3351778,361232,/sell/item/2285934109,Mint (M),Near Mint (NM or M-),danh01,/seller/danh01/profile,£450.00,+no extra shipping
"Jay Z* & Kanye West - Watch The Throne (2xLP, Album, Pic)",3351778,361232,/sell/item/2241562414,Mint (M),Very Good Plus (VG+),Vinylmennesker,/seller/Vinylmennesker/profile,$549.95,€516.95
"Jay Z* & Kanye West - Watch The Throne (2xLP, Album, Pic)",3351778,361232,/sell/item/1847074486,Mint (M),Very Good Plus (VG+),rasputin_rarities,/seller/rasputin_rarities/profile,$550.00,+$26.00
"Jay Z* & Kanye West - Watch The Throne (2xLP, Album, Pic)",3351778,361232,/sell/item/1578407599,Very Good Plus (VG+),Very Good Plus (VG+),bluenoat,/seller/bluenoat/profile,$579.99,€545.19
"Jay Z* & Kanye West - Watch The Throne (2xLP, Album, Pic)",3351778,361232,/sell/item/2080124462,Near Mint (NM or M-),Near Mint (NM or M-),zakreynolds96,/seller/zakreynolds96/profile,£500.00,+no extra shipping
"Jay Z* & Kanye West - Watch The Throne (2xLP, Album, Pic)",3351778,361232,/sell/item/2232734083,Mint (M),Mint (M),stuvy42,/seller/stuvy42/profile,A$900.00,+A$20.00
"Jay Z* & Kanye West - Watch The Throne (2xLP, Album, Pic)",3351778,361232,/sell/item/2128285307,Mint (M),Mint (M),RecycledRecordsLp,/seller/RecycledRecordsLp/profile,$700.00,€658.00
"Jay Z* & Kanye West - Watch The Throne (2xLP, Album, Pic)",3351778,361232,/sell/item/1777106041,Near Mint (NM or M-),Near Mint (NM or M-),BlayBlay,/seller/BlayBlay/profile,$796.00,€748.24
"Jay Z* & Kanye West - Watch The Throne (2xLP, Album, Pic)",3351778,361232,/sell/item/2214267886,Mint (M),Mint (M),WaxedRecords,/seller/WaxedRecords/profile,$850.00,€799.00
"Jay Z* & Kanye West - Watch The Throne (2xLP, Album, Pic)",3351778,361232,/sell/item/1511397076,Mint (M),Mint (M),SpinylRecords,/seller/SpinylRecords/profile,$989.00,+$59.00
"Jay Z* & Kanye West - Watch The Throne (2xLP, Album, Pic)",3351778,361232,/sell/item/1797098410,Mint (M),Mint (M),QualityDriven,/seller/QualityDriven/profile,"$1,100.00",+$35.00
"Jay Z* & Kanye West - Watch The Throne (2xLP, Album, Pic)",3351778,361232,/sell/item/2096930603,Mint (M),Mint (M),carlos94gv,/seller/carlos94gv/profile,"€1,200.00",+no extra shipping
